City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,yushu,44.8,126.5333,20.41,18,87,10.69,CN,1683518298
161,anadarko,35.0726,-98.2437,24.0,54,89,10.74,US,1683518299
162,cabo san lucas,22.8909,-109.9124,27.56,57,96,4.84,MX,1683518158
163,coyhaique,-45.5752,-72.0662,1.97,87,20,1.54,CL,1683518300
164,gao,16.6362,1.637,30.28,25,80,2.41,ML,1683518300
165,brookings,44.3114,-96.7984,14.14,78,0,4.63,US,1683518025
166,kwang binh,17.4833,106.6,29.18,83,100,3.19,VN,1683518301
167,papao,-17.75,-149.55,27.82,76,100,1.35,PF,1683518301
168,loango,-4.6719,11.8312,25.81,89,40,3.09,CG,1683518302
169,bathsheba,13.2167,-59.5167,27.34,83,40,4.63,BB,1683518302
170,carnarvon,-24.8667,113.6333,29.07,35,0,5.6,AU,1683518302
171,dunedin,-45.8742,170.5036,17.82,89,88,1.84,NZ,1683518303
172,bom jesus,-9.0744,-44.3586,22.57,72,62,0.75,BR,1683518303
173,miyako,39.6367,141.9525,4.25,98,100,7.59,JP,1683518304
174,thompson,55.7435,-97.8558,11.09,54,20,1.54,CA,1683518304
175,garachico,28.7781,-17.7646,19.06,73,20,10.8,ES,1683518305
176,gamboru,12.3707,14.2173,28.06,39,70,3.42,NG,1683518306
177,karratha,-20.7377,116.8463,29.94,30,16,10.58,AU,1683518306
178,sentjernej,45.84,15.3361,14.01,97,100,1.78,SI,1683518307
179,malvik,63.4333,10.6833,5.28,60,0,3.6,NO,1683518307
180,nemuro,43.3236,145.575,1.35,98,100,7.82,JP,1683518308
181,bikenibeu village,1.3673,173.1241,30.98,74,40,3.09,KI,1683518308
182,buala,-8.145,159.5921,29.31,74,70,1.3,SB,1683518309
183,vorgashor,67.5833,63.95,-9.48,84,100,9.71,RU,1683518309
184,kalengwa,-13.4659,25.0027,10.72,64,0,2.26,ZM,1683518309
185,pechora,65.1472,57.2244,-5.88,90,100,6.78,RU,1683518310
186,west plains,36.7281,-91.8524,23.46,85,75,2.06,US,1683518078
187,east london,-33.0153,27.9116,18.65,75,100,3.05,ZA,1683518311
188,nova sintra,14.8667,-24.7167,19.87,79,0,7.09,CV,1683518311
189,molochnoye,59.2917,39.6787,2.54,66,14,2.72,RU,1683518311
190,novyy urengoy,66.0833,76.6333,2.41,100,100,9.08,RU,1683518312
191,west island,-12.1568,96.8225,29.99,79,40,3.09,CC,1683518312
192,san pedro,14.35,121.0167,34.62,56,20,3.6,PH,1683518313
193,khorinsk,52.1657,109.7726,16.06,25,32,3.62,RU,1683518313
194,tazacorte,28.629,-17.9293,20.54,83,20,10.8,ES,1683518314
195,udachny,66.4167,112.4,-3.64,38,43,3.48,RU,1683518314
196,arkalyk,50.2486,66.9114,21.18,23,8,4.29,KZ,1683518314
197,rong kwang,18.339,100.3174,39.16,32,52,2.69,TH,1683518315
198,taro,-8.3862,115.28,26.03,62,98,2.17,ID,1683518315
199,bamboo flat,11.7,92.7167,31.48,65,100,0.99,IN,1683518316
200,lillehammer,61.1146,10.4674,-0.38,97,44,0.14,NO,1683518316
201,richards bay,-28.783,32.0377,19.46,91,98,1.8,ZA,1683518316
202,fortuna,40.5982,-124.1573,13.14,64,100,1.79,US,1683518317
203,christchurch,-43.5333,172.6333,21.29,64,31,4.12,NZ,1683518317
204,kidal,18.4411,1.4078,31.66,20,88,0.54,ML,1683518318
205,vorkuta,67.5,64.0,-9.13,84,100,9.4,RU,1683518318
206,turtas,58.9417,69.1325,6.89,38,11,7.08,RU,1683518319
207,iskateley,67.6803,53.1512,-3.36,91,61,2.9,RU,1683518319
208,tsiombe,-25.3,45.4833,20.0,77,1,2.19,MG,1683518319
209,karlskrona,56.1616,15.5866,-1.75,73,26,2.56,SE,1683518320
210,clovis,36.8252,-119.7029,20.94,51,40,4.63,US,1683517896
211,peterhead,57.5058,-1.7981,8.58,99,100,8.35,GB,1683518321
212,ola,59.5833,151.2833,6.19,83,55,3.18,RU,1683518321
213,invercargill,-46.4,168.35,13.88,86,100,0.8,NZ,1683518322
214,taoudenni,22.6783,-3.9836,32.59,10,91,3.74,ML,1683518322
215,qingyuan,23.7,113.0333,23.99,76,100,3.05,CN,1683518323
216,ryotsu-minato,38.0833,138.4333,11.61,81,99,6.24,JP,1683518323
217,rouyn-noranda,48.2398,-79.0288,9.05,43,0,5.66,CA,1683518323
218,jianguang,28.1938,115.7836,21.62,55,54,5.28,CN,1683518324
219,key west,24.5557,-81.7826,28.33,69,75,6.17,US,1683518206
220,imbituba,-28.24,-48.6703,20.99,91,87,4.71,BR,1683518325
221,olyokminsk,60.3736,120.4264,3.25,51,89,3.31,RU,1683518325
222,cape town,-33.9258,18.4232,15.77,90,0,2.06,ZA,1683518109
223,vilyuchinsk,52.9306,158.4028,8.15,75,46,2.89,RU,1683518326
224,maslova pristan',50.4587,36.7408,4.64,62,100,5.93,RU,1683518327
225,ubata,-14.2139,-39.5228,19.93,99,29,0.91,BR,1683518327
226,yuzhno-kurilsk,44.0306,145.8556,1.73,96,100,3.81,RU,1683518327
227,sake,-1.5736,29.045,16.1,95,46,0.33,CD,1683518328
228,tanumah,27.1,44.1333,26.63,21,70,3.35,SA,1683518328
229,lompoc,34.6391,-120.4579,14.32,86,0,6.17,US,1683518329
230,ghat,24.9647,10.1728,23.81,13,83,2.19,LY,1683518329
231,pandan,14.0453,124.1694,30.85,64,4,2.26,PH,1683518264
232,akureyri,65.6835,-18.0878,6.96,81,62,2.57,IS,1683518330
233,birjand,32.8663,59.2211,16.26,14,0,2.06,IR,1683518331
234,gizo,-8.103,156.8419,29.05,75,94,2.07,SB,1683518331
235,linares,-35.85,-71.6,10.03,76,0,2.11,CL,1683518234
236,kamaishi,39.2667,141.8833,5.64,91,100,6.63,JP,1683518332
237,klyuchi,52.2667,79.1667,24.17,23,0,1.33,RU,1683518332
238,ribeira brava,32.65,-17.0667,20.95,73,1,1.66,PT,1683518333
239,atherton,53.5237,-2.4935,12.9,82,100,1.79,GB,1683518333
240,kavaratti,10.5669,72.642,28.78,70,70,4.62,IN,1683518334
241,zambezi,-13.5432,23.1047,12.27,62,0,2.42,ZM,1683518334
242,ancud,-41.8697,-73.8203,6.66,91,9,1.4,CL,1683518334
243,freetown,8.484,-13.2299,25.84,94,75,2.06,SL,1683518335
244,narvik,68.4384,17.4272,5.67,95,100,2.38,NO,1683518335
245,forster,-32.1667,152.5167,17.43,42,17,4.02,AU,1683518336
246,jamestown,42.097,-79.2353,14.8,88,100,2.57,US,1683518336
247,tazovsky,67.4667,78.7,-3.57,93,100,12.92,RU,1683518337
248,inarajan village,13.2736,144.7484,31.54,80,18,5.27,GU,1683518337
249,berezovyy,51.6667,135.7,18.79,22,14,3.02,RU,1683518337
250,bodaybo,57.8506,114.1933,5.18,77,100,2.17,RU,1683518338
251,varallo,45.8139,8.259,15.52,82,97,2.26,IT,1683518338
252,nuku'alofa,-21.1333,-175.2,28.19,78,20,3.6,TO,1683518339
253,chipinge,-20.1883,32.6236,11.73,94,0,1.65,ZW,1683518339
254,bangui,4.3612,18.555,22.1,100,20,0.0,CF,1683518339
255,caibarien,22.5206,-79.4669,25.62,76,5,6.48,CU,1683518340
256,hithadhoo,-0.6,73.0833,28.6,73,72,6.51,MV,1683518340
257,savenay,47.3667,-1.95,11.94,100,0,2.57,FR,1683518341
258,skeldon,5.8833,-57.1333,24.32,95,100,2.93,GY,1683518341
259,st. john's,47.5649,-52.7093,4.26,76,75,9.26,CA,1683518202
260,bonthe,7.5264,-12.505,26.57,83,82,0.61,SL,1683518342
261,shingu,33.7333,135.9833,19.13,50,24,3.77,JP,1683518342
262,laguna,38.421,-121.4238,17.08,57,0,5.14,US,1683518343
263,comrat,46.3003,28.6572,9.41,74,100,3.78,MD,1683518343
264,ganta,7.3022,-8.5308,20.78,91,80,0.43,LR,1683518344
265,sitia,35.2,26.0986,18.32,72,0,8.12,GR,1683518344
266,constantia,44.1833,28.65,10.39,69,80,0.7,RO,1683518345
267,avarua,-21.2078,-159.775,25.03,100,75,1.54,CK,1683518346
268,upata,8.0086,-62.3989,24.55,83,25,3.47,VE,1683518346
269,hope,33.6671,-93.5916,23.03,96,100,3.35,US,1683518347
270,puerto santander,8.3636,-72.4063,28.67,62,100,1.21,CO,1683518348
271,lavrio,37.7145,24.0565,18.88,59,1,2.7,GR,1683518348
272,metlili chaamba,32.2667,3.6333,20.52,37,0,11.83,DZ,1683518349
273,ilha de mocambique,-15.0342,40.7358,23.95,75,0,5.24,MZ,1683518349
274,tchintabaraden,15.8969,5.7985,26.25,13,83,5.15,NE,1683518349
275,alghero,40.5589,8.3181,16.05,94,40,3.09,IT,1683518350
